"搜索词","日期","飙升排名","搜索增长幅度","搜索人数","点击人数","点击率","支付转化率","支付人数","直通车参考价"
"礼盒篮子","2020-04-09~2020-04-15","1","307.69%","53","39","62.25%","0","0","0.73"
"流星球","2020-04-09~2020-04-15","2","250.75%","1,168","617","65.88%","12.8%","79","0.6"
"回礼","2020-04-09~2020-04-15","3","163.58%","398","205","74.13%","1.46%","3","1.02"
"forus","2020-04-09~2020-04-15","4","157.14%","18","11","129.03%","0","0","0"
"ychee旗舰店","2020-04-09~2020-04-15","5","130%","138","110","212.03%","0.91%","1","0"
"爱沫","2020-04-09~2020-04-15","6","118.18%","24","8","142%","0","0","0"
"流星球填充物","2020-04-09~2020-04-15","7","115.49%","487","311","73.31%","14.47%","45","0.96"
"borntolove","2020-04-09~2020-04-15","8","100%","34","4","32.95%","0","0","0"
"伴娘杯子","2020-04-09~2020-04-15","9","97.47%","156","97","53.61%","2.06%","2","0.48"
"伴娘伴郎","2020-04-09~2020-04-15","10","88.89%","17","7","37.04%","0","0","0.77"
"随手礼盒","2020-04-09~2020-04-15","11","81.25%","29","12","39.42%","0","0","0"
"伴郎伴娘","2020-04-09~2020-04-15","12","77.78%","16","6","30.19%","0","0","0.77"
"伴伴","2020-04-09~2020-04-15","13","76.32%","67","2","1.43%","0","0","0"
"随手礼","2020-04-09~2020-04-15","14","74.31%","502","221","64.25%","1.81%","4","1.04"
"伴娘礼品","2020-04-09~2020-04-15","15","73.33%","26","18","75.89%","5.56%","1","0.68"
"伴手","2020-04-09~2020-04-15","16","69.44%","61","16","39.13%","0","0","0.26"
"藤编礼盒","2020-04-09~2020-04-15","17","60%","16","10","75.26%","0","0","0.32"
"桃红家","2020-04-09~2020-04-15","18","58.08%","264","156","200.29%","0","0","0.23"
"满月篮","2020-04-09~2020-04-15","19","57.14%","11","6","51.28%","0","0","0"
"妇女节","2020-04-09~2020-04-15","20","53.85%","20","3","12.9%","0","0","1.05"
"大象造物","2020-04-09~2020-04-15","21","47.37%","56","37","138.27%","0","0","0"
"礼盒泡沫球","2020-04-09~2020-04-15","22","46.43%","82","54","78.45%","12.96%","7","0.82"
"礼物盒泡沫球","2020-04-09~2020-04-15","23","46.15%","38","27","68.83%","14.81%","4","0.89"
"mihe","2020-04-09~2020-04-15","24","41.77%","112","79","172.46%","0","0","0"
"泡沫球填充物","2020-04-09~2020-04-15","25","39.13%","96","36","54.47%","8.33%","3","0.48"
"马卡龙泡沫球","2020-04-09~2020-04-15","26","39.02%","57","36","58.79%","5.56%","2","0.37"
"伴郎礼盒","2020-04-09~2020-04-15","27","37.97%","109","70","68.92%","0","0","0.67"
"伴娘礼","2020-04-09~2020-04-15","28","37.17%","417","262","77.88%","2.29%","6","0.77"
"rsd studio","2020-04-09~2020-04-15","29","31.58%","75","52","235.28%","0","0","0"
"婚礼蜂蜜","2020-04-09~2020-04-15","30","30%","13","8","72.6%","12.5%","1","0.49"
"imo","2020-04-09~2020-04-15","31","25%","110","12","42.15%","0","0","0"
"泡沫流星球","2020-04-09~2020-04-15","32","23.86%","109","79","72.1%","3.8%","3","0.51"
"伴郎礼物","2020-04-09~2020-04-15","33","18.6%","102","71","67.38%","4.23%","3","0.82"
"编织礼盒","2020-04-09~2020-04-15","34","14.29%","24","17","94.12%","11.76%","2","0.4"
"流星球礼盒","2020-04-09~2020-04-15","35","13.18%","1,185","630","54.97%","3.97%","25","0.84"
"范妮范","2020-04-09~2020-04-15","37","11.11%","20","11","98.57%","0","0","0"
"生日酒礼盒","2020-04-09~2020-04-15","36","11.11%","10","3","13.33%","0","0","0"
"流星球泡沫","2020-04-09~2020-04-15","38","9.76%","135","86","69.89%","6.98%","6","0.51"
"礼盒男","2020-04-09~2020-04-15","39","9.09%","12","6","30.77%","0","0","1.25"
"手伴","2020-04-09~2020-04-15","40","6.84%","125","60","77.48%","0","0","0.22"
"伴娘回礼","2020-04-09~2020-04-15","41","3.33%","1,460","949","67.63%","1.9%","18","0.73"
"满月礼品","2020-04-09~2020-04-15","42","2.86%","36","13","30.19%","0","0","1.29"
"樱花蜂蜜","2020-04-09~2020-04-15","43","2.33%","132","100","120.54%","6%","6","0.17"
"mihe studio","2020-04-09~2020-04-15","44","1.69%","362","288","252.69%","1.04%","3","0"
"蒸笼喜糖盒","2020-04-09~2020-04-15","45","-5.26%","18","16","109.57%","0","0","0.4"
"伴娘礼物","2020-04-09~2020-04-15","46","-6.46%","478","299","71.29%","4.01%","12","0.78"
"手礼盒","2020-04-09~2020-04-15","47","-8.33%","11","2","16.67%","0","0","0"
"礼篮","2020-04-09~2020-04-15","48","-8.96%","61","35","86.89%","0","0","0.45"
"加湿器礼盒","2020-04-09~2020-04-15","49","-11.11%","8","7","68.42%","0","0","0.35"
