"搜索词","日期","热搜排名","搜索人数","点击人数","点击率","支付转化率","支付人数","直通车参考价"
"节庆伴手礼","2020-04-09~2020-04-15","1","5,290","852","31.08%","3.99%","34","1.13"
"伴手礼结婚 实用 婚礼","2020-04-09~2020-04-15","2","3,496","2,380","87.88%","8.19%","195","1.05"
"伴娘礼盒 伴手礼","2020-04-09~2020-04-15","3","3,317","2,159","83.82%","6.21%","134","0.76"
"伴郎伴手礼","2020-04-09~2020-04-15","4","1,892","1,311","79.11%","4.12%","54","1.03"
"伴娘回礼","2020-04-09~2020-04-15","5","1,460","949","67.63%","1.9%","18","0.73"
"流星球礼盒","2020-04-09~2020-04-15","6","1,185","630","54.97%","3.97%","25","0.84"
"闺蜜生日礼盒","2020-04-09~2020-04-15","7","1,169","610","62.03%","2.13%","13","0.77"
"流星球","2020-04-09~2020-04-15","8","1,168","617","65.88%","12.8%","79","0.6"
"伴手礼小礼品","2020-04-09~2020-04-15","9","1,164","729","80.5%","7.13%","52","1.03"
"婚伴手礼","2020-04-09~2020-04-15","10","1,129","689","65.18%","0.87%","6","0.76"
"婚礼伴手礼小礼品","2020-04-09~2020-04-15","11","944","451","64.66%","3.77%","17","0.81"
"男士生日礼盒","2020-04-09~2020-04-15","12","790","736","118.28%","2.45%","18","2"
"伴郎伴娘伴手礼盒","2020-04-09~2020-04-15","13","666","440","90.49%","6.36%","28","0.72"
"结婚伴手礼","2020-04-09~2020-04-15","14","642","459","84.4%","7.63%","35","1"
"伴手礼篮子","2020-04-09~2020-04-15","15","641","507","103.18%","5.52%","28","0.6"
"伴手礼男伴郎","2020-04-09~2020-04-15","17","609","420","73.52%","6.43%","27","1.07"
"新娘伴手礼","2020-04-09~2020-04-15","16","609","413","78.47%","4.36%","18","0.9"
"伴娘礼盒 伴手礼 实用","2020-04-09~2020-04-15","18","533","334","79.45%","8.98%","30","0.65"
"伴娘伴手礼实用","2020-04-09~2020-04-15","19","519","328","84.86%","7.93%","26","0.76"
"随手礼","2020-04-09~2020-04-15","20","502","221","64.25%","1.81%","4","1.04"
"伴手礼女伴娘实用","2020-04-09~2020-04-15","21","497","323","82.72%","10.22%","33","0.81"
"伴娘伴手礼盒","2020-04-09~2020-04-15","22","491","357","101.25%","7%","25","0.78"
"流星球填充物","2020-04-09~2020-04-15","23","487","311","73.31%","14.47%","45","0.96"
"闺蜜团伴手礼","2020-04-09~2020-04-15","24","481","452","109.34%","4.65%","21","0.91"
"伴娘礼物","2020-04-09~2020-04-15","25","478","299","71.29%","4.01%","12","0.78"
"樱花酱工作室","2020-04-09~2020-04-15","27","464","113","21.7%","0","0","0"
"伴娘伴手礼实用 结婚","2020-04-09~2020-04-15","26","464","290","85.8%","11.38%","33","1.11"
"doki boom","2020-04-09~2020-04-15","28","443","306","117.61%","0","0","0"
"伴娘礼","2020-04-09~2020-04-15","29","417","262","77.88%","2.29%","6","0.77"
"回礼","2020-04-09~2020-04-15","30","398","205","74.13%","1.46%","3","1.02"
"伴娘礼盒 伴手礼 高端","2020-04-09~2020-04-15","31","394","216","76.45%","5.09%","11","0.82"
"mihe studio","2020-04-09~2020-04-15","32","362","288","252.69%","1.04%","3","0"
"百日宴礼品","2020-04-09~2020-04-15","33","336","213","66.49%","1.41%","3","1.48"
"伴娘晨袍","2020-04-09~2020-04-15","34","330","207","85.6%","6.28%","13","1.49"
"爱的博物馆","2020-04-09~2020-04-15","35","300","229","227.29%","0.87%","2","0.27"
"结婚礼品","2020-04-09~2020-04-15","36","299","167","86.54%","4.79%","8","1.1"
"闺蜜结婚礼物女 高档","2020-04-09~2020-04-15","37","298","152","41.71%","1.32%","2","0.96"
"结婚礼物创意 高档 实用","2020-04-09~2020-04-15","38","288","110","43.79%","1.82%","2","1.1"
"喜糖礼盒装 结婚 高档","2020-04-09~2020-04-15","39","273","175","78.52%","5.71%","10","0.88"
"伴手礼 结婚","2020-04-09~2020-04-15","40","271","175","90.87%","2.86%","5","1.01"
"伴手礼提篮","2020-04-09~2020-04-15","41","268","196","93.39%","5.61%","11","0.77"
"桃红家","2020-04-09~2020-04-15","42","264","156","200.29%","0","0","0.23"
"婚礼伴手礼","2020-04-09~2020-04-15","43","258","181","100.36%","1.66%","3","0.86"
"满月回礼篮子","2020-04-09~2020-04-15","44","248","174","90.25%","1.15%","2","0.73"
"伴娘伴手礼晨袍礼盒","2020-04-09~2020-04-15","45","236","109","73.21%","5.5%","6","1.1"
"欧舒丹伴手礼","2020-04-09~2020-04-15","46","235","140","97.72%","1.43%","2","1.03"
"伴娘伴手礼香水口红","2020-04-09~2020-04-15","47","225","114","52.68%","0.88%","1","0.63"
"新娘伴手礼盒","2020-04-09~2020-04-15","48","218","174","90.6%","5.17%","9","0.8"
"结婚伴手礼 回礼 创意","2020-04-09~2020-04-15","49","215","143","76.7%","7.69%","11","1"
