"商品信息","店铺名","商品ID","日期","交易金额","访客人数","搜索人数","收藏人数","加购人数","支付转化率","支付人数","客单价","uv价值","搜索占比","收藏率","加购率"
"4.23阅读大狂欢专享VIP买1送1樊登读书下单送豪礼樊登读书知识商城","樊登读书知识商城","616200703980","2020-04-09 ~ 2020-04-15","109378","10420","45","434","1006","3.01%","314","348.74","10.5","0.43%","4.17%","9.65%"
"结婚伴手礼女伴娘满月回礼节庆小礼品实用闺蜜婚礼男伴郎走心礼盒大花小花设计师礼品","大花小花设计师礼品","606058129076","2020-04-09 ~ 2020-04-15","73318","12548","5252","820","1877","4.05%","508","144.27","5.84","41.86%","6.53%","14.96%"
"伴手礼女伴娘创意实用婚礼结婚回礼物满月小礼品闺蜜节庆高端礼盒礼物盒直销厂家","礼物盒直销厂家","601393271553","2020-04-09 ~ 2020-04-15","72507","5101","3061","415","596","4.55%","232","312.4","14.21","60.01%","8.14%","11.68%"
"结婚回礼盒婚礼伴手礼女伴娘礼品实用走心创意商务生日满月十周岁红妆阁家居旗舰店","红妆阁家居旗舰店","594093585615","2020-04-09 ~ 2020-04-15","52416","8999","4242","446","1102","3.73%","336","156.16","5.82","47.14%","4.96%","12.25%"
"高档伴手礼女伴娘实用欧舒丹欧式创意闺蜜情人节庆生日结婚礼品盒私人高端婚庆生日伴手礼品","私人高端婚庆生日伴手礼品","612582230045","2020-04-09 ~ 2020-04-15","42395","5331","4627","252","481","2.77%","148","287.1","7.95","86.79%","4.73%","9.02%"
"结婚伴手礼女伴娘婚礼宝宝满月百天周岁诞生回礼生日礼物送女友实君如创意礼品","君如创意礼品","595961268927","2020-04-09 ~ 2020-04-15","39090","4523","2178","305","584","3.76%","170","229.85","8.64","48.15%","6.74%","12.91%"
"伴手礼女伴娘节庆结婚实用婚礼满月小礼品高档礼盒装伴郎生日礼物如梦心选","如梦心选","603081845582","2020-04-09 ~ 2020-04-15","38131","6125","5153","391","729","4.13%","253","150.74","6.23","84.13%","6.38%","11.9%"
"伴手礼结婚女伴娘高档实用婚礼盒满月酒回礼节庆男伴郎小礼品礼物礼物盒直销厂家","礼物盒直销厂家","612889362120","2020-04-09 ~ 2020-04-15","35768","4426","1616","287","485","4.47%","198","180.79","8.08","36.51%","6.48%","10.96%"
"结婚伴手礼女伴娘婚礼回礼实用礼物男伴郎创意礼盒节庆小礼品高档久久姻缘喜铺","久久姻缘喜铺","612598784323","2020-04-09 ~ 2020-04-15","24543","862","657","170","169","12.3%","106","231.48","28.47","76.22%","19.72%","19.61%"
"婚礼伴郎伴手礼女伴娘闺蜜实用结婚满月生日礼物回礼创意礼品提篮有样YouYoung礼品","有样YouYoung礼品","600226279150","2020-04-09 ~ 2020-04-15","23143","19454","3179","1027","1210","0.72%","140","165.23","1.19","16.34%","5.28%","6.22%"
"伴手礼女伴娘礼盒结婚回礼物宝宝满月节庆生日实用定制创意小礼品潮礼陶瓷实业有限公司","潮礼陶瓷实业有限公司","612365903092","2020-04-09 ~ 2020-04-15","22413","5393","1051","170","442","2.58%","139","161.08","4.16","19.49%","3.15%","8.2%"
"鼠宝宝满月酒伴手礼盒百日宴周岁回礼结婚伴郎伴娘女手提篮子创意UMIGIFT侑蜜礼品","UMIGIFT侑蜜礼品","614013525491","2020-04-09 ~ 2020-04-15","22344","7507","5237","518","744","1.62%","122","183.73","2.98","69.76%","6.9%","9.91%"
"结婚伴手礼女伴娘婚礼小礼品回礼姐妹团创意实用成品喜糖盒礼盒装LOVEME婚品定制","LOVEME婚品定制","599096663325","2020-04-09 ~ 2020-04-15","21232","5363","4246","219","613","2.25%","121","175.95","3.96","79.17%","4.08%","11.43%"
"爱的博物馆木质伴手礼结婚 实用 婚礼女闺蜜伴娘礼物节庆满月礼盒爱的博物馆","爱的博物馆","604109446100","2020-04-09 ~ 2020-04-15","20940","8468","1938","304","386","1.04%","88","237.77","2.47","22.89%","3.59%","4.56%"
"婚礼伴手礼女伴娘盒结婚回礼伴郎小礼品送女生礼物包装盒子篮子空大黄蜂设计师礼品","大黄蜂设计师礼品","601952056333","2020-04-09 ~ 2020-04-15","18204","3100","1032","193","348","2.35%","73","249.88","5.87","33.29%","6.23%","11.23%"
"伴手礼女伴娘实用婚礼盒小礼品回礼物节庆结婚新娘闺蜜团高端创意久久姻缘喜铺","久久姻缘喜铺","613945939218","2020-04-09 ~ 2020-04-15","17561","660","486","146","118","13.49%","89","197.24","26.61","73.64%","22.12%","17.88%"
"伴手礼女伴娘满月回礼生日节庆小礼物创意结婚成品婚礼喜糖礼盒装顾安大喜定制","顾安大喜定制","604709943062","2020-04-09 ~ 2020-04-15","16770","1662","1564","137","180","5.11%","85","197.46","10.09","94.1%","8.24%","10.83%"
"伴手礼女伴娘结婚婚礼回礼小礼品创意伴郎生日礼盒小礼物礼物盒大黄蜂设计师礼品","大黄蜂设计师礼品","601887412312","2020-04-09 ~ 2020-04-15","16493","1927","998","79","144","2.18%","42","392.61","8.56","51.79%","4.1%","7.47%"
"婚伴手礼女伴娘实用走心礼盒高档结婚礼小礼品节庆创意小礼物满月颐和缘","颐和缘","608453329574","2020-04-09 ~ 2020-04-15","16358","1602","476","78","155","3.87%","62","263.85","10.21","29.71%","4.87%","9.68%"
"结婚伴手礼女伴娘婚礼送闺蜜生日走心礼盒礼物回礼实用创意礼品添祥缘旗舰店","添祥缘旗舰店","613892629575","2020-04-09 ~ 2020-04-15","16350","3025","1989","152","292","6.25%","189","86.48","5.4","65.75%","5.02%","9.65%"
"ins风时尚精美高档婚礼伴手礼结婚回礼伴郎伴娘喜糖礼盒套装礼品有样YouYoung礼品","有样YouYoung礼品","579228757129","2020-04-09 ~ 2020-04-15","15841","2793","2056","155","319","2.15%","60","263.8","5.67","73.61%","5.55%","11.42%"
"结婚伴手礼盒女伴娘伴郎实用婚礼回礼高端创意满月酒百日宴小礼品Welong薇伦设计婚品","Welong薇伦设计婚品","609554749812","2020-04-09 ~ 2020-04-15","15104","964","286","57","111","4.88%","47","321.07","15.67","29.67%","5.91%","11.51%"
"结婚伴手礼女伴娘婚礼回礼小礼品节庆高端实用婚庆创意商务礼盒囍糖屋","囍糖屋","604606089451","2020-04-09 ~ 2020-04-15","14122","1146","859","76","140","3.93%","45","313.56","12.32","74.96%","6.63%","12.22%"
"结婚伴郎伴手礼女伴娘婚礼高端回礼礼品实用满月礼盒套装毛巾创意RSD高级礼品定制","RSD高级礼品定制","605582871818","2020-04-09 ~ 2020-04-15","13632","4901","815","286","240","0.37%","18","751.75","2.78","16.63%","5.84%","4.9%"
"高端伴娘伴手礼晨袍礼盒女  新娘结婚回礼创意实用姐妹团婚礼走心伴娘品牌设计师婚品","伴娘品牌设计师婚品","599927007889","2020-04-09 ~ 2020-04-15","13332","3277","1748","138","232","1.49%","49","273.04","4.07","53.34%","4.21%","7.08%"
"宝宝满月伴手礼回礼百日宴十周岁生日小礼品创意结婚婚礼实用礼盒LOVEME婚品定制","LOVEME婚品定制","591888296485","2020-04-09 ~ 2020-04-15","13009","1080","703","49","159","3.89%","42","309.65","12.05","65.09%","4.54%","14.72%"
"婚礼男生伴手礼男士生日礼物创意实用礼品礼盒结婚回礼高档男伴郎巧礼屋旗舰店","巧礼屋旗舰店","605254671377","2020-04-09 ~ 2020-04-15","12798","4624","2238","180","269","1.27%","59","217.93","2.77","48.4%","3.89%","5.82%"
"结婚伴手礼女伴娘婚礼满月回礼小礼品节庆高端实用男伴郎创意礼盒艾唯一家居专营店","艾唯一家居专营店","614634515946","2020-04-09 ~ 2020-04-15","12181","3127","2170","138","285","2.11%","66","184.62","3.9","69.4%","4.41%","9.11%"
"节庆小礼品伴手礼女伴娘满月结婚小礼物实用闺蜜生日婚礼礼盒回礼美嫁娘旗舰店","美嫁娘旗舰店","599008004607","2020-04-09 ~ 2020-04-15","11840","5490","1426","245","539","2.29%","126","94.18","2.16","25.97%","4.46%","9.82%"
"宝宝周岁满月酒伴手礼盒儿童生日百日宴结婚回礼篮子空伴娘女创意UMIGIFT侑蜜礼品","UMIGIFT侑蜜礼品","605447801530","2020-04-09 ~ 2020-04-15","11839","3632","1913","150","272","0.85%","31","383.49","3.26","52.67%","4.13%","7.49%"
"ins结婚礼喜糖时尚商务回礼盒伴郎伴手礼情人节实用礼物男士礼品恋慕私定礼品","恋慕私定礼品","602587458110","2020-04-09 ~ 2020-04-15","11361","1818","1122","90","115","1.7%","31","367.6","6.25","61.72%","4.95%","6.33%"
"伴手礼伴娘婚礼生日小礼品情人节创意实用定制logo礼盒回礼随手礼正邦礼品","正邦礼品","599098814391","2020-04-09 ~ 2020-04-15","11258","3016","208","87","232","1.62%","49","230.42","3.73","6.9%","2.88%","7.69%"
"结婚伴手礼女伴娘婚礼走心高档礼盒礼物宝宝满月回礼实用创意礼品菲寻家居旗舰店","菲寻家居旗舰店","601881781424","2020-04-09 ~ 2020-04-15","10716","8233","1654","261","564","1.07%","88","121.64","1.3","20.09%","3.17%","6.85%"
"伴手礼女伴娘手办礼盒结婚伴郎实用小礼品高端婚礼网红回闺蜜新娘锦礼铭遇","锦礼铭遇","607030994935","2020-04-09 ~ 2020-04-15","10247","1856","983","111","365","25.48%","473","21.67","5.52","52.96%","5.98%","19.67%"
"结婚婚礼伴手礼女伴娘伴郎宝宝满月回礼小礼品高端实用喜糖礼盒装织梦轩婚庆礼品","织梦轩婚庆礼品","606303854068","2020-04-09 ~ 2020-04-15","10218","1844","1769","62","131","3.14%","58","176.47","5.54","95.93%","3.36%","7.1%"
"生日礼物情人节伴手伴娘姐妹结婚回礼送闺蜜女友创意实用ins高端Born to Love","Born to Love","610548576237","2020-04-09 ~ 2020-04-15","9797","996","725","80","78","2.31%","23","425.82","9.84","72.79%","8.03%","7.83%"
"拉芙里伴手礼女伴娘礼盒高档结婚实用婚礼节庆小礼品手提袋ins风拉芙礼礼手作礼品","拉芙礼礼手作礼品","610358490514","2020-04-09 ~ 2020-04-15","9587","6768","558","360","173","0.25%","17","566.61","1.42","8.24%","5.32%","2.56%"
"结婚礼物闺蜜伴手礼女伴娘礼盒实用创意新婚礼回礼走心礼盒小礼物春鹿旗舰店","春鹿旗舰店","607176769195","2020-04-09 ~ 2020-04-15","9553","1124","657","48","114","2.49%","28","341.33","8.5","58.45%","4.27%","10.14%"
